#{"t_start": 1771164003.908489, "env_id": "Swimmer-v5"}
r,l,t
8.299062,1000,1.13814
-1.994845,1000,1.425477
1.138706,1000,1.714366
-1.76538,1000,2.002088
3.360881,1000,2.307392
1.303017,1000,6.603703
-6.173408,1000,6.893974
-4.10849,1000,7.18657
-7.35296,1000,7.495982
3.566773,1000,7.787452
31.581637,1000,18.053063
35.220336,1000,24.394999
30.140446,1000,30.733074
23.713738,1000,37.069109
9.902593,1000,43.408413
21.489177,1000,53.842029
23.55344,1000,60.223159
19.622141,1000,66.568687
22.061965,1000,72.90706
6.568853,1000,79.255236
27.124422,1000,89.715987
19.522888,1000,96.060918
19.303453,1000,102.396223
26.25458,1000,108.765418
22.928847,1000,115.41997
16.695145,1000,125.744189
40.821867,1000,132.069663
58.649334,1000,138.3947
57.708755,1000,144.726628
14.050957,1000,151.065054
18.227661,1000,161.329187
18.158061,1000,167.667829
